Name of the element,Reference of the element,"Type of the element, ignoring UDET, truncated to 4 or 6 characters",Component spec reference,PIPE,Position,,Etemp,Ntemp,Ntemp
"FLANGE 1 of BRANCH /BTRM-1000-4""-B1710001-66620M0-01/B2",=67132086/463,FLAN,66620M0r01-GAS1/WNFL-100,"BTRM-1000-4""-B1710001-66620M0-01",E 174467.39mm N 157458.2mm U 1246.7mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-4""-B1710001-66620M0-01/B2",=67132086/462,GASK,66620M0r01-GAS1/GKSW-100,"BTRM-1000-4""-B1710001-66620M0-01",E 174464.19mm N 157458.2mm U 1246.7mm,,,,
17-RO-10001,=67132086/461,INST,SPCOM-INST-600#/ROPW-100,"BTRM-1000-4""-B1710001-66620M0-01",E 174449.19mm N 157458.2mm U 1246.7mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-4""-B1710001-66620M0-01/B2",=67132086/460,GASK,66620M0r01-GAS1/GKSW-100,"BTRM-1000-4""-B1710001-66620M0-01",E 174445.99mm N 157458.2mm U 1246.7mm,,,,
"BTRM-1000-4""-B1710001-66620M0-01/B2",=67132086/459,BRAN,,"BTRM-1000-4""-B1710001-66620M0-01",,,,,
"FBLIND 1 of BRANCH /BTRM-1000-4""-B1710001-66620M0-01/B1",=67132086/458,FBLI,66620M0r01-GAS1/BLFL-25,"BTRM-1000-4""-B1710001-66620M0-01",E 175541.338mm N 157458.2mm U 1671.427mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-4""-B1710001-66620M0-01/B1",=67132086/457,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-4""-B1710001-66620M0-01",E 175541.338mm N 157458.2mm U 1668.227mm,,,,
"VALVE 1 of BRANCH /BTRM-1000-4""-B1710001-66620M0-01/B1",=67132086/456,VALV,66620M0r01-GAS1/BARFL-25,"BTRM-1000-4""-B1710001-66620M0-01",E 175541.338mm N 157458.2mm U 1560.227mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-4""-B1710001-66620M0-01/B1",=67132086/455,GASK,66620M0r01-GAS1/GKSW-25,"BTRM-1000-4""-B1710001-66620M0-01",E 175541.338mm N 157458.2mm U 1449.027mm,,,,
"BEND 1 of BRANCH /BTRM-1000-4""-B1710001-66620M0-01/B1",=67132086/454,BEND,66620M0r01-GAS1/BEND-25,"BTRM-1000-4""-B1710001-66620M0-01",E 175541.338mm N 157458.2mm U 1449.027mm,,,,
"BTRM-1000-4""-B1710001-66620M0-01/B1",=67132086/453,BRAN,,"BTRM-1000-4""-B1710001-66620M0-01",,,,,
"BTRM-1000-4""-B1710001-66620M0-01",=67132086/452,PIPE,,"BTRM-1000-4""-B1710001-66620M0-01",,,,,
ileave tube of =67132086/451,=67132086/451,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-B1710004-11503-01",E 176975.99mm N 159608.206mm U 821.801mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-4""-B1710004-11503-01/B2",=67132086/451,ELBO,11503_i20/E90B-100,"BTRM-1000-4""-B1710004-11503-01",E 176975.992mm N 159608.206mm U 1223.95mm,,,,
ileave tube of =67132086/450,=67132086/450,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-B1710004-11503-01",E 176975.992mm N 158533.58mm U 1229.324mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-4""-B1710004-11503-01/B2",=67132086/450,ELBO,11503_i20/E90B-100,"BTRM-1000-4""-B1710004-11503-01",E 176975.992mm N 157458.2mm U 1234.701mm,,,,
ileave tube of /PS-171044.1,=67132086/449,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-B1710004-11503-01",E 176684.616mm N 157458.2mm U 1236.158mm,,,,
PS-171044.1,=67132086/449,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-B1710004-11503-01",E 176545.234mm N 157458.2mm U 1236.855mm,,,,
"ileave tube of /BTRM-1000-4""-B1710004-11503-01/B2",=67132086/448,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-B1710004-11503-01",E 176445.963mm N 157458.2mm U 1237.351mm,,,,
"BTRM-1000-4""-B1710004-11503-01/B2",=67132086/448,BRAN,,"BTRM-1000-4""-B1710004-11503-01",,,,,
"FLANGE 1 of BRANCH /BTRM-1000-4""-B1710004-11503-01/B1",=67132086/447,FLAN,61503_i20/WNFL-100,"BTRM-1000-4""-B1710004-11503-01",E 176237.694mm N 157458.2mm U 1238.393mm,,,,
"BTRM-1000-4""-B1710004-11503-01/B1",=67132086/446,BRAN,,"BTRM-1000-4""-B1710004-11503-01",,,,,
"BTRM-1000-4""-B1710004-11503-01",=67132086/445,PIPE,,"BTRM-1000-4""-B1710004-11503-01",,,,,
"BEND 1 of BRANCH /BTRM-1000-4""-B1710002-11503-01/B2",=67132086/444,BEND,11503_i20/BEND-100,"BTRM-1000-4""-B1710002-11503-01",E 176689.984mm N 159608.206mm U 571.179mm,,,,
ileave tube of =67132086/443,=67132086/443,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-B1710002-11503-01",E 176689.984mm N 159608.206mm U 754.174mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-4""-B1710002-11503-01/B2",=67132086/443,ELBO,11503_i20/E90B-100,"BTRM-1000-4""-B1710002-11503-01",E 176689.984mm N 159608.206mm U 1088.411mm,,,,
ileave tube of =67132086/442,=67132086/442,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-B1710002-11503-01",E 176690.279mm N 160532.826mm U 1093.033mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-4""-B1710002-11503-01/B2",=67132086/442,ELBO,11503_i20/E90B-100,"BTRM-1000-4""-B1710002-11503-01",E 176690.574mm N 161458.2mm U 1097.659mm,,,,
ileave tube of /PS-171049.1,=67132086/441,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-B1710002-11503-01",E 176338.755mm N 161458.2mm U 1099.418mm,,,,
PS-171049.1,=67132086/441,ATTA,MDS/PIPE-REST.4-PMP,"BTRM-1000-4""-B1710002-11503-01",E 176138.929mm N 161458.2mm U 1100.417mm,,,,
"ileave tube of /BTRM-1000-4""-B1710002-11503-01/B2",=67132086/440,TUBI,11503_i20/PIPE-100,"BTRM-1000-4""-B1710002-11503-01",E 176019.638mm N 161458.2mm U 1101.014mm,,,,
"BTRM-1000-4""-B1710002-11503-01/B2",=67132086/440,BRAN,,"BTRM-1000-4""-B1710002-11503-01",,,,,
"FLANGE 1 of BRANCH /BTRM-1000-4""-B1710002-11503-01/B1",=67132086/439,FLAN,61503_i20/WNFL-100,"BTRM-1000-4""-B1710002-11503-01",E 175791.348mm N 161458.2mm U 1102.155mm,,,,
"BTRM-1000-4""-B1710002-11503-01/B1",=67132086/438,BRAN,,"BTRM-1000-4""-B1710002-11503-01",,,,,
"BTRM-1000-4""-B1710002-11503-01",=67132086/437,PIPE,,"BTRM-1000-4""-B1710002-11503-01",,,,,
PS-171098.7,=67132086/436,PLAT,MDS/AC25-6,"BTRM-1000-8""-B7610003-11503-01",E 217796.994mm N 177499.998mm U 9184.151mm,,,,
PS-171099.14,=67132086/435,ATTA,MDS/.COMMENT150-PMP,"BTRM-1000-8""-B7610003-11503-01",E 217696.994mm N 177499.998mm U 9184.151mm,,,,
ileave tube of /PS-171099.6,=67132086/434,TUBI,11503_i20/PIPE-150,"BTRM-1000-8""-B7610003-11503-01",E 217648.497mm N 177499.998mm U 9184.151mm,,,,
PS-171099.6,=67132086/434,ATTA,MDS/GT574-150-PMP,"BTRM-1000-8""-B7610003-11503-01",E 217500mm N 177499.998mm U 9184.151mm,,,,
PS-171099.7,=67132086/433,ATTA,MDS/GT575-150-PMP,"BTRM-1000-8""-B7610003-11503-01",E 217500mm N 177499.998mm U 9184.151mm,,,,
PS-171099.2,=67132086/432,ATTA,MDS/PIPE-REST.6-PMP,"BTRM-1000-8""-B7610003-11503-01",E 217500mm N 177499.998mm U 9184.151mm,,,,
ileave tube of /PS-171099.10/SREF,=67132086/431,TUBI,11503_i20/PIPE-150,"BTRM-1000-8""-B7610003-11503-01",E 217292.103mm N 177499.998mm U 9184.151mm,,,,
PS-171099.10/SREF,=67132086/431,ATTA,MDS/TT24-6-PMP,"BTRM-1000-8""-B7610003-11503-01",E 217084.206mm N 177499.998mm U 9184.151mm,,,,
PS-171099/MAKEUP-2,=67132086/430,REDU,MDS/.REDUMAKEUP200,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 177499.998mm U 9184.151mm,,,,
PS-171099.5,=67132086/429,ATTA,MDS/AC34-8-PMP,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 177499.998mm U 9184.151mm,,,,
PS-171099.9,=67132086/428,ATTA,MDS/.COMMENT200-PMP,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 177499.998mm U 9184.151mm,,,,
"BTRM-1000-8""-B7610003-11503-01/B3",=67132086/427,BRAN,,"BTRM-1000-8""-B7610003-11503-01",,,,,
PS-171098.4,=67132086/426,PLAT,MDS/AC25-6,"BTRM-1000-8""-B7610003-11503-01",E 216303.006mm N 177500.002mm U 9184.151mm,,,,
PS-171099.13,=67132086/425,ATTA,MDS/.COMMENT150-PMP,"BTRM-1000-8""-B7610003-11503-01",E 216403.006mm N 177500.002mm U 9184.151mm,,,,
ileave tube of /PS-171099.3,=67132086/424,TUBI,11503_i20/PIPE-150,"BTRM-1000-8""-B7610003-11503-01",E 216401.503mm N 177500.002mm U 9184.151mm,,,,
PS-171099.3,=67132086/424,ATTA,MDS/GT574-150-PMP,"BTRM-1000-8""-B7610003-11503-01",E 216500mm N 177500.002mm U 9184.151mm,,,,
PS-171099.1,=67132086/423,ATTA,MDS/PIPE-REST.6-PMP,"BTRM-1000-8""-B7610003-11503-01",E 216500mm N 177500.002mm U 9184.151mm,,,,
ileave tube of /PS-171099.12/SREF,=67132086/422,TUBI,11503_i20/PIPE-150,"BTRM-1000-8""-B7610003-11503-01",E 216707.897mm N 177500.002mm U 9184.151mm,,,,
PS-171099.12/SREF,=67132086/422,ATTA,MDS/TT24-6-PMP,"BTRM-1000-8""-B7610003-11503-01",E 216915.794mm N 177500.002mm U 9184.151mm,,,,
PS-171099/MAKEUP-1,=67132086/421,REDU,MDS/.REDUMAKEUP200,"BTRM-1000-8""-B7610003-11503-01",E 217000.006mm N 177500.002mm U 9184.151mm,,,,
PS-171099.4,=67132086/420,ATTA,MDS/AC34-8-PMP,"BTRM-1000-8""-B7610003-11503-01",E 217000.006mm N 177500.002mm U 9184.151mm,,,,
PS-171099.11,=67132086/419,ATTA,MDS/.COMMENT200-PMP,"BTRM-1000-8""-B7610003-11503-01",E 217000.006mm N 177500.002mm U 9184.151mm,,,,
"BTRM-1000-8""-B7610003-11503-01/B2",=67132086/418,BRAN,,"BTRM-1000-8""-B7610003-11503-01",,,,,
"ELBOW 4 of BRANCH /BTRM-1000-8""-B7610003-11503-01/B1",=67132086/417,ELBO,11503_i20/E45B-200,"BTRM-1000-8""-B7610003-11503-01",E 216999.998mm N 177500.001mm U 10000mm,,,,
ileave tube of =67132086/416,=67132086/416,TUBI,11503_i20/PIPE-200,"BTRM-1000-8""-B7610003-11503-01",E 216999.996mm N 177500mm U 9528.575mm,,,,
"TEE 2 of BRANCH /BTRM-1000-8""-B7610003-11503-01/B1",=67132086/416,TEE,11503_i20/SOT-200X200,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 177499.998mm U 9184.151mm,,,,
"TEE 1 of BRANCH /BTRM-1000-8""-B7610003-11503-01/B1",=67132086/415,TEE,11503_i20/SOT-200X200,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 177499.998mm U 9184.151mm,,,,
ileave tube of /PS-171099.8,=67132086/414,TUBI,11503_i20/PIPE-200,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 177499.998mm U 6092.075mm,,,,
PS-171099.8,=67132086/414,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 177499.998mm U 3000mm,,,,
ileave tube of =67132086/413,=67132086/413,TUBI,11503_i20/PIPE-200,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 177499.998mm U 1874.912mm,,,,
"ELBOW 3 of BRANCH /BTRM-1000-8""-B7610003-11503-01/B1",=67132086/413,ELBO,11503_i20/E90B-200,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 177499.998mm U 445.128mm,,,,
"ATTACHMENT 13 of BRANCH /BTRM-1000-8""-B7610003-11503-01/B1",=67132086/412,ATTA,11503_i20/ATTA-200,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 175107.789mm U 442.735mm,,,,
ileave tube of /SL-171513.2,=67132086/411,TUBI,11503_i20/PIPE-200,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 175901.547mm U 443.529mm,,,,
SL-171513.2,=67132086/411,ATTA,MDS/GT574-200-PMP,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 174607.79mm U 442.235mm,,,,
SL-171513.1,=67132086/410,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 174607.79mm U 442.235mm,,,,
ileave tube of /SL-171514.2,=67132086/409,TUBI,11503_i20/PIPE-200,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 170357.79mm U 437.985mm,,,,
SL-171514.2,=67132086/409,ATTA,MDS/GT574-200-PMP,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 166107.79mm U 433.735mm,,,,
SL-171514.1,=67132086/408,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 166107.79mm U 433.735mm,,,,
ileave tube of /SL-171515.2,=67132086/407,TUBI,11503_i20/PIPE-200,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 162596.29mm U 430.223mm,,,,
SL-171515.2,=67132086/407,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 159084.789mm U 426.711mm,,,,
ileave tube of /SL-171516.4,=67132086/406,TUBI,11503_i20/PIPE-200,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 156084.789mm U 423.711mm,,,,
SL-171516.4,=67132086/406,ATTA,MDS/GT574-200-PMP,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 153084.789mm U 420.711mm,,,,
SL-171516.3,=67132086/405,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 153084.789mm U 420.711mm,,,,
ileave tube of /SL-171517.1,=67132086/404,TUBI,11503_i20/PIPE-200,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 150209.638mm U 417.835mm,,,,
SL-171517.1,=67132086/404,ATTA,MDS/GT575-200-PMP,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 147334.486mm U 414.96mm,,,,
SL-171517.3,=67132086/403,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 147334.486mm U 414.96mm,,,,
ileave tube of =67132086/402,=67132086/402,TUBI,11503_i20/PIPE-200,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 145582.241mm U 413.208mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-8""-B7610003-11503-01/B1",=67132086/402,ELBO,11503_i20/E90B-200,"BTRM-1000-8""-B7610003-11503-01",E 216999.994mm N 143524.996mm U 411.15mm,,,,
ileave tube of /SL-171519.1,=67132086/401,TUBI,11503_i20/PIPE-200,"BTRM-1000-8""-B7610003-11503-01",E 216016.742mm N 143524.996mm U 410.167mm,,,,
SL-171519.1,=67132086/401,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-B7610003-11503-01",E 215338.49mm N 143524.996mm U 409.489mm,,,,
"ATTACHMENT 2 of BRANCH /BTRM-1000-8""-B7610003-11503-01/B1",=67132086/400,ATTA,11503_i20/PENE-200,"BTRM-1000-8""-B7610003-11503-01",E 213950.589mm N 143524.996mm U 408.101mm,,,,
ileave tube of =67132086/399,=67132086/399,TUBI,11503_i20/PIPE-200,"BTRM-1000-8""-B7610003-11503-01",E 214644.54mm N 143524.996mm U 408.795mm,,,,
"ATTACHMENT 1 of BRANCH /BTRM-1000-8""-B7610003-11503-01/B1",=67132086/399,ATTA,MDS/PIPE-REST.8-PMP,"BTRM-1000-8""-B7610003-11503-01",E 213950.589mm N 143524.996mm U 408.101mm,,,,
ileave tube of =67132086/398,=67132086/398,TUBI,11503_i20/PIPE-200,"BTRM-1000-8""-B7610003-11503-01",E 213231.142mm N 143524.996mm U 407.381mm,,,,
"FLANGE 3 of BRANCH /BTRM-1000-8""-B7610003-11503-01/B1",=67132086/398,FLAN,11503_i20/WNFL-200,"BTRM-1000-8""-B7610003-11503-01",E 212409.696mm N 143524.996mm U 406.56mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-8""-B7610003-11503-01/B1",=67132086/397,GASK,11503_i20/GKSW-200,"BTRM-1000-8""-B7610003-11503-01",E 212406.696mm N 143524.996mm U 406.557mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-8""-B7610003-11503-01/B1",=67132086/396,FLAN,11503_i20/WNFL-200,"BTRM-1000-8""-B7610003-11503-01",E 212406.696mm N 143524.996mm U 406.557mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-8""-B7610003-11503-01/B1",=67132086/395,ELBO,11503_i20/E90B-200,"BTRM-1000-8""-B7610003-11503-01",E 212000.001mm N 143524.996mm U 406.15mm,,,,
ileave tube of =67132086/394,=67132086/394,TUBI,11503_i20/PIPE-200,"BTRM-1000-8""-B7610003-11503-01",E 212000.001mm N 143524.996mm D 9.271mm,,,,
"FLANGE 1 of BRANCH /BTRM-1000-8""-B7610003-11503-01/B1",=67132086/394,FLAN,11503_i20/WNFL-200,"BTRM-1000-8""-B7610003-11503-01",E 212000.001mm N 143524.996mm D 221.997mm,,,,
"GASKET 1 of BRANCH /BTRM-1000-8""-B7610003-11503-01/B1",=67132086/393,GASK,11503_i20/GKSW-200,"BTRM-1000-8""-B7610003-11503-01",E 212000.001mm N 143524.996mm D 224.997mm,,,,
"BTRM-1000-8""-B7610003-11503-01/B1",=67132086/392,BRAN,,"BTRM-1000-8""-B7610003-11503-01",,,,,
"BTRM-1000-8""-B7610003-11503-01",=67132086/391,PIPE,,"BTRM-1000-8""-B7610003-11503-01",,,,,
"GASKET 3 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/390,GASK,11503_i20/GKSW-200,"BTRM-1000-6""-B7610001-11503-01",E 212000.001mm N 146099.996mm D 221.997mm,,,,
"FLANGE 4 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/389,FLAN,11503_i20/WNFL-200,"BTRM-1000-6""-B7610001-11503-01",E 212000.001mm N 146099.996mm D 221.997mm,,,,
ileave tube of =67132086/388,=67132086/388,TUBI,11503_i20/PIPE-200,"BTRM-1000-6""-B7610001-11503-01",E 212000.002mm N 146100.001mm D 33.367mm,,,,
"ELBOW 3 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/388,ELBO,11503_i20/E90B-200,"BTRM-1000-6""-B7610001-11503-01",E 212000.003mm N 146100.005mm U 357.959mm,,,,
"REDUCER 1 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/387,REDU,11503_i20/REEB-200x150,"BTRM-1000-6""-B7610001-11503-01",E 212304.698mm N 146100.005mm U 358.264mm,,,,
"FLANGE 3 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/386,FLAN,11503_i20/WNFL-150,"BTRM-1000-6""-B7610001-11503-01",E 212545.672mm N 146100.005mm U 383.905mm,,,,
"GASKET 2 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/385,GASK,11503_i20/GKSW-150,"BTRM-1000-6""-B7610001-11503-01",E 212548.672mm N 146100.005mm U 383.908mm,,,,
"FLANGE 2 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/384,FLAN,11503_i20/WNFL-150,"BTRM-1000-6""-B7610001-11503-01",E 212548.672mm N 146100.005mm U 383.908mm,,,,
"ATTACHMENT 23 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/383,ATTA,11503_i20/PENE-150,"BTRM-1000-6""-B7610001-11503-01",E 213950.615mm N 146100.005mm U 385.31mm,,,,
ileave tube of =67132086/382,=67132086/382,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 213294.144mm N 146100.005mm U 384.653mm,,,,
"ATTACHMENT 22 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/382,ATTA,MDS/PIPE-REST.6-PMP,"BTRM-1000-6""-B7610001-11503-01",E 213950.615mm N 146100.005mm U 385.31mm,,,,
ileave tube of /SL-171518.1,=67132086/381,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 214394.578mm N 146100.005mm U 385.754mm,,,,
SL-171518.1,=67132086/381,ATTA,MDS/PIPE-REST.6-PMP,"BTRM-1000-6""-B7610001-11503-01",E 214838.541mm N 146100.005mm U 386.198mm,,,,
ileave tube of =67132086/380,=67132086/380,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 215554.222mm N 146100.005mm U 386.914mm,,,,
"ELBOW 2 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/380,ELBO,11503_i20/E90B-150,"BTRM-1000-6""-B7610001-11503-01",E 216498.902mm N 146100.005mm U 387.858mm,,,,
ileave tube of /SL-171517.2,=67132086/379,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 216498.902mm N 146831.76mm U 388.59mm,,,,
SL-171517.2,=67132086/379,ATTA,MDS/PIPE-REST.6-PMP,"BTRM-1000-6""-B7610001-11503-01",E 216498.902mm N 147334.515mm U 389.093mm,,,,
ileave tube of /SL-171516.5,=67132086/378,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 216498.902mm N 150209.666mm U 391.968mm,,,,
SL-171516.5,=67132086/378,ATTA,MDS/GT574-150-PMP,"BTRM-1000-6""-B7610001-11503-01",E 216498.902mm N 153084.818mm U 394.844mm,,,,
SL-171516.1,=67132086/377,ATTA,MDS/GT575-150-PMP,"BTRM-1000-6""-B7610001-11503-01",E 216498.902mm N 153084.818mm U 394.844mm,,,,
SL-171516.2,=67132086/376,ATTA,MDS/PIPE-REST.6-PMP,"BTRM-1000-6""-B7610001-11503-01",E 216498.902mm N 153084.818mm U 394.844mm,,,,
ileave tube of /SL-171515.1,=67132086/375,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 216498.902mm N 156084.818mm U 397.844mm,,,,
SL-171515.1,=67132086/375,ATTA,MDS/PIPE-REST.6-PMP,"BTRM-1000-6""-B7610001-11503-01",E 216498.902mm N 159084.818mm U 400.844mm,,,,
"ATTACHMENT 15 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/374,ATTA,11503_i20/ATTA-150,"BTRM-1000-6""-B7610001-11503-01",E 216498.902mm N 159379.206mm U 401.138mm,,,,
ileave tube of =67132086/373,=67132086/373,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 216498.902mm N 159232.012mm U 400.991mm,,,,
"ELBOW 1 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/373,ELBO,11503_i20/E90B-150,"BTRM-1000-6""-B7610001-11503-01",E 216498.902mm N 159608.206mm U 401.367mm,,,,
ileave tube of /SL-171510.3,=67132086/372,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 213910.076mm N 159608.206mm U 403.957mm,,,,
SL-171510.3,=67132086/372,ATTA,MDS/GT574-150-PMP,"BTRM-1000-6""-B7610001-11503-01",E 211550.249mm N 159608.206mm U 406.317mm,,,,
SL-171510.1,=67132086/371,ATTA,MDS/PIPE-REST.6-PMP,"BTRM-1000-6""-B7610001-11503-01",E 211550.249mm N 159608.206mm U 406.317mm,,,,
ileave tube of /SL-171509.1,=67132086/370,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 208550.252mm N 159608.206mm U 409.317mm,,,,
SL-171509.1,=67132086/370,ATTA,MDS/PIPE-REST.6-PMP,"BTRM-1000-6""-B7610001-11503-01",E 205550.255mm N 159608.206mm U 412.317mm,,,,
ileave tube of /SL-171508.3,=67132086/369,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 202550.24mm N 159608.206mm U 415.317mm,,,,
SL-171508.3,=67132086/369,ATTA,MDS/GT574-150-PMP,"BTRM-1000-6""-B7610001-11503-01",E 199550.226mm N 159608.206mm U 418.317mm,,,,
SL-171508.1,=67132086/368,ATTA,MDS/PIPE-REST.6-PMP,"BTRM-1000-6""-B7610001-11503-01",E 199550.226mm N 159608.206mm U 418.317mm,,,,
ileave tube of /SL-171507.3,=67132086/367,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 196550.221mm N 159608.206mm U 421.318mm,,,,
SL-171507.3,=67132086/367,ATTA,MDS/GT574-150-PMP,"BTRM-1000-6""-B7610001-11503-01",E 193550.217mm N 159608.206mm U 424.318mm,,,,
SL-171507.1,=67132086/366,ATTA,MDS/PIPE-REST.6-PMP,"BTRM-1000-6""-B7610001-11503-01",E 193550.217mm N 159608.206mm U 424.318mm,,,,
ileave tube of =67132086/365,=67132086/365,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 191766.239mm N 159608.206mm U 426.102mm,,,,
"OLET 3 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/365,OLET,11503_i20/BR3B-150x50,"BTRM-1000-6""-B7610001-11503-01",E 189982.261mm N 159608.206mm U 427.886mm,,,,
ileave tube of /SL-171506.1,=67132086/364,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 189717.067mm N 159608.206mm U 428.151mm,,,,
SL-171506.1,=67132086/364,ATTA,MDS/PIPE-REST.6-PMP,"BTRM-1000-6""-B7610001-11503-01",E 189451.873mm N 159608.206mm U 428.417mm,,,,
ileave tube of /SL-171505.5,=67132086/363,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 187651.027mm N 159608.206mm U 430.218mm,,,,
SL-171505.5,=67132086/363,ATTA,MDS/GT574-150-PMP,"BTRM-1000-6""-B7610001-11503-01",E 185850.182mm N 159608.206mm U 432.018mm,,,,
SL-171505.3,=67132086/362,ATTA,MDS/PIPE-REST.6-PMP,"BTRM-1000-6""-B7610001-11503-01",E 185850.182mm N 159608.206mm U 432.018mm,,,,
ileave tube of =67132086/361,=67132086/361,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 183825.03mm N 159608.206mm U 434.044mm,,,,
"OLET 2 of BRANCH /BTRM-1000-6""-B7610001-11503-01/B1",=67132086/361,OLET,11503_i20/BR3B-150x50,"BTRM-1000-6""-B7610001-11503-01",E 181799.878mm N 159608.206mm U 436.069mm,,,,
ileave tube of /SL-171502.6,=67132086/360,TUBI,11503_i20/PIPE-150,"BTRM-1000-6""-B7610001-11503-01",E 181325.06mm N 159608.206mm U 436.544mm,,,,
SL-171502.6,=67132086/360,ATTA,MDS/GT575-150-PMP,"BTRM-1000-6""-B7610001-11503-01",E 180850.242mm N 159608.206mm U 437.019mm,,,,
SL-171502.3,=67132086/359,ATTA,MDS/PIPE-REST.6-PMP,"BTRM-1000-6""-B7610001-11503-01",E 180850.242mm N 159608.206mm U 437.019mm,,,,
